dim,k,p,scale,L_reg,num_samples,eigen_error,orth_error,eigen_cost,fitted_eigen_error,eigenvalue_mse,fitted_eigenvalue_mse,eigenfunc_mse,linear_reconstruction,quadratic_reconstruction,cubic_reconstruction,linear_L_reconstruction,quadratic_L_reconstruction,cubic_L_reconstruction,linear_pde_error,quadratic_pde_error
1.0,2,200.0,3.3516026509388426,1e-06,50000.0,0.0006464315968844684,1.8973058751349878e-05,1.0055602540123258,0.0006283599550225855,1.8490369395453307e-05,3.6429986693760403e-09,8.860015847504548e-05,0.00019500405131006983,0.9999208369114279,0.41133127733290464,0.00020019063579637664,0.9999316371874951,0.8641876929791127,0.00018759975176640094,1.0002405588339611
1.0,2,200.0,3.6358508611685774,1e-06,50000.0,0.0004628561939403306,1.912471665051348e-05,1.005708926994944,0.0004434614491898995,1.958427266155223e-05,1.117060345316529e-09,8.265424637024648e-05,0.0001837464307884221,0.9999257994114481,0.41210497963231296,0.00018851261838507172,0.9999319079465373,0.8647396251699407,0.00017675814930767978,1.000239689221957
1.0,2,200.0,3.944206059437656,1e-06,50000.0,0.0004437320334800428,1.9093070009188383e-05,1.0052699974436936,0.0004227514942341674,2.1691933332059204e-05,7.996361337279805e-09,0.00010099337840057498,0.00022023490074983982,0.9999312369959189,0.41458383387262865,0.00022587648483794376,0.9999323670726165,0.8664862488737068,0.00021240181301482324,1.0002381495587478
1.0,2,200.0,4.278712750694265,1e-06,50000.0,0.0006491272193361781,1.8834140222386792e-05,1.0052426981940221,0.0006268554107395972,2.49181756463104e-05,8.124892723361893e-08,0.0001648607501122515,0.00034668137208112134,0.999936406488916,0.4193793217128673,0.00035541140550588324,0.9999331260834752,0.8698434178681934,0.0003360561323732414,1.000235520645299
1.0,2,200.0,4.6415888336127775,1e-06,50000.0,0.0011614595334361601,1.8402262753162846e-05,1.0057408968865347,0.0011397106172574194,2.8504176809790997e-05,4.7237694137260547e-07,0.0002986995443945529,0.0006120346043059159,0.9999398359792898,0.4261266320097846,0.0006272824044321748,0.9999341110918608,0.8745299490165164,0.0005964723962627157,1.0002319162232352
1.0,2,200.0,5.035240306053041,1e-06,50000.0,0.0017946687318802226,1.802097887134997e-05,1.0067799174528769,0.0017757292708606035,3.0364948101015295e-05,1.367151950711358e-06,0.00045949284434301324,0.0009313245073723284,0.9999401362314864,0.43218262103181615,0.0009548355115679895,0.9999348967186603,0.8787026349803968,0.000911113918173187,1.0002287976832454
1.0,2,200.0,5.46227721768434,1e-06,50000.0,0.00208403690028417,1.7893466440973824e-05,1.00557060315941,0.002067868951580453,2.929436459629216e-05,1.963695338160896e-06,0.0005334177820412861,0.0010783152494227522,0.9999382197455169,0.43458079704850044,0.0011060782031204926,0.9999351147714154,0.880347145772786,0.0010562619551579661,1.0002277615814041
1.0,2,200.0,5.925530975545677,1e-06,50000.0,0.001922622346460277,1.8010510633939133e-05,1.0067050166874953,0.001907723094794538,2.6581700785591522e-05,1.7039317455554727e-06,0.0004941209744098038,0.0010004234460562486,0.9999370652107716,0.4333456185997018,0.0010265585235663325,0.9999348772301787,0.8795019441966717,0.00097895213946561,1.0002285797841972
1.0,2,200.0,6.4280731172843195,1e-06,50000.0,0.0015610978572214275,1.8258679631200968e-05,1.0064542721847618,0.0015464125414474197,2.3839139328975156e-05,1.1238411198009587e-06,0.0004043165512904949,0.0008222803536559067,0.9999386751217634,0.43030023793224015,0.0008441509289305388,0.9999344617775484,0.877411364472718,0.0008027339786558506,1.0002301405886598
1.0,2,200.0,6.97323567654597,1e-06,50000.0,0.0011964322649032795,1.854968181815296e-05,1.006401059887288,0.0011815398398580571,2.168913271457281e-05,6.530934479212333e-07,0.0003134418928296647,0.000642143907469759,0.9999433025694484,0.42682559522151914,0.0006597296249612033,0.9999340336171746,0.875016354931646,0.0006249830303612395,1.000231730096183
1.0,2,200.0,7.564633275546287,1e-06,50000.0,0.000896312626930198,1.88395679383065e-05,1.0059506187323255,0.0008810962673867936,2.0160018656859295e-05,3.5951067137551657e-07,0.00023856399155938512,0.0004938923556314763,0.999950555446253,0.4235263686065887,0.0005080039240967308,0.9999336599780111,0.8727325536863398,0.00047902152355710104,1.0002330727575404
